peg_id,point_type,chainage_m,x,y,existing_z_m,design_z_m,cut_fill_m
Drain_1_110_106_CH000,Drain_1_110_106,0.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CH001,Drain_1_110_106,1.0,1016.5092504546996,975.19259963624,110.40065328845016,110.4090909090909,-0.008437620640748378
Drain_1_110_106_CH002,Drain_1_110_106,2.0,1016.0123339395996,975.59013284832,110.37804478546371,110.3181818181818,0.05986296728191576
Drain_1_110_106_CH003,Drain_1_110_106,3.0,1015.4444293509137,976.0444565192688,110.2119709483969,110.22727272727272,-0.015301778875823402
Drain_1_110_106_CH004,Drain_1_110_106,4.0,1014.805536688642,976.555570649086,110.4046205886995,110.13636363636364,0.2682569523358609
Drain_1_110_106_CH005,Drain_1_110_106,5.0,1014.0956559527848,977.123475237772,110.01868793339602,110.04545454545456,-0.026766612058537476
Drain_1_110_106_CH006,Drain_1_110_106,6.0,1013.3147871433418,977.7481702853264,109.88894405308211,109.95454545454544,-0.06560140146332571
Drain_1_110_106_CH007,Drain_1_110_106,7.0,1012.5339183338988,978.3728653328808,109.5130320061656,109.86363636363636,-0.3506043574707576
Drain_1_110_106_CH008,Drain_1_110_106,8.0,1011.7521480252962,978.996327506872,109.2027772544695,109.77272727272728,-0.569950018257785
Drain_1_110_106_CH009,Drain_1_110_106,9.0,1010.96572485443,979.6134265125604,109.00401668838674,109.6818181818182,-0.6778014934314598
Drain_1_110_106_CH010,Drain_1_110_106,10.0,1010.174648821301,980.2241623499464,109.11150252650226,109.5909090909091,-0.4794065644068297
Drain_1_110_106_CH011,Drain_1_110_106,11.0,1009.3789199259088,980.8285350190292,109.31273680617711,109.5,-0.18726319382288636
Drain_1_110_106_CH012,Drain_1_110_106,12.0,1008.5785381682532,981.42654451981,109.73462155289845,109.4090909090909,0.3255306438075394
Drain_1_110_106_CH013,Drain_1_110_106,13.0,1007.7735035483348,982.0181908522876,109.49581822427989,109.3181818181818,0.17763640609808817
Drain_1_110_106_CH014,Drain_1_110_106,14.0,1006.963816066153,982.6034740164628,109.39051413950334,109.22727272727272,0.16324141223061872
Drain_1_110_106_CH015,Drain_1_110_106,15.0,1006.149475721708,983.1823940123354,109.2979559222936,109.13636363636364,0.1615922859299559
Drain_1_110_106_CH016,Drain_1_110_106,16.0,1005.330482515,983.7549508399052,109.25646194972096,109.04545454545456,0.21100740426639675
Drain_1_110_106_CH017,Drain_1_110_106,17.0,1004.5204422335338,984.312073974169,109.15822449973548,108.95454545454544,0.20367904519004298
Drain_1_110_106_CH018,Drain_1_110_106,18.0,1003.7813900256534,984.8124066495642,109.1773800815158,108.86363636363636,0.3137437178794471
Drain_1_110_106_CH019,Drain_1_110_106,19.0,1003.1142273905184,985.257181739654,109.02964530575144,108.77272727272728,0.2569180330241636
Drain_1_110_106_CH020,Drain_1_110_106,20.0,1002.5227056912324,985.651529539178,108.73334246403756,108.6818181818182,0.05152428221936134
Drain_1_110_106_CH021,Drain_1_110_106,21.0,1002.0068249277956,985.995450048136,108.37238224662345,108.5909090909091,-0.21852684428564828
Drain_1_110_106_CH022,Drain_1_110_106,22.0,1000.5,987.0,108.6435435858466,108.5,0.14354358584660076
