x,y,existing_z_m,design_z_m,cut_fill_m,field_zone
1011.865,949.526,121.316,105.97802308822114,15.337976911778867,Heavy Cut > 2.0 m
1012.865,949.526,121.316,106.22308827859541,15.09291172140459,Heavy Cut > 2.0 m
1013.865,949.526,117.35,106.26691364039011,11.08308635960988,Heavy Cut > 2.0 m
1014.865,949.526,117.35,106.23472783254738,11.115272167452616,Heavy Cut > 2.0 m
1015.865,949.526,117.35,106.19885156561611,11.151148434383884,Heavy Cut > 2.0 m
1016.865,949.526,117.281,106.17123907708881,11.109760922911192,Heavy Cut > 2.0 m
1017.865,949.526,117.281,106.1510019625581,11.129998037441908,Heavy Cut > 2.0 m
1018.865,949.526,117.281,106.14507033048531,11.135929669514695,Heavy Cut > 2.0 m
1019.865,949.526,117.281,106.15181260895862,11.129187391041384,Heavy Cut > 2.0 m
1020.865,949.526,117.281,106.14723118905778,11.133768810942229,Heavy Cut > 2.0 m
1021.865,949.526,117.281,106.09944954950353,11.181550450496474,Heavy Cut > 2.0 m
1022.865,949.526,117.281,105.9274136606586,11.353586339341405,Heavy Cut > 2.0 m
1023.865,949.526,117.281,105.47707027418377,11.803929725816232,Heavy Cut > 2.0 m
1024.865,949.526,117.281,104.75260257979691,12.528397420203092,Heavy Cut > 2.0 m
1025.865,949.526,117.281,104.07935317596542,13.201646824034583,Heavy Cut > 2.0 m
1026.865,949.526,117.281,103.72345630408654,13.557543695913466,Heavy Cut > 2.0 m
1027.865,949.526,117.281,103.61852158764027,13.662478412359732,Heavy Cut > 2.0 m
1028.865,949.526,117.281,103.60024045736705,13.680759542632956,Heavy Cut > 2.0 m
1029.865,949.526,117.281,103.59234908013784,13.68865091986217,Heavy Cut > 2.0 m
1030.865,949.526,115.868,103.57666738571245,12.29133261428754,Heavy Cut > 2.0 m
1031.865,949.526,115.868,103.55526262555834,12.312737374441653,Heavy Cut > 2.0 m
1032.865,949.526,111.857,103.53860304370835,8.31839695629165,Heavy Cut > 2.0 m
1033.865,949.526,111.857,103.53125368958379,8.325746310416207,Heavy Cut > 2.0 m
1034.865,949.526,111.857,103.5330743040422,8.323925695957797,Heavy Cut > 2.0 m
1035.865,949.526,111.857,103.54266666949927,8.31433333050073,Heavy Cut > 2.0 m
1036.865,949.526,111.857,103.55474085464843,8.30225914535157,Heavy Cut > 2.0 m
1037.865,949.526,111.857,103.56508471119372,8.29191528880628,Heavy Cut > 2.0 m
1038.865,949.526,108.608,103.5715402981129,5.036459701887111,Heavy Cut > 2.0 m
1039.865,949.526,108.608,103.5740066590835,5.03399334091651,Heavy Cut > 2.0 m
1040.865,949.526,108.608,103.57438171256133,5.033618287438671,Heavy Cut > 2.0 m
1041.865,949.526,108.608,103.57423379083254,5.033766209167467,Heavy Cut > 2.0 m
1009.865,950.526,120.57048565668175,105.56791142148062,15.002574235201138,Heavy Cut > 2.0 m
1010.865,950.526,120.13876550131994,105.90534382491704,14.233421676402898,Heavy Cut > 2.0 m
1011.865,950.526,119.70721722459469,106.17398727041721,13.533229954177472,Heavy Cut > 2.0 m
1012.865,950.526,119.27614486557118,106.30151028140949,12.974634584161691,Heavy Cut > 2.0 m
1013.865,950.526,118.84507250654768,106.30287626599358,12.542196240554105,Heavy Cut > 2.0 m
1014.865,950.526,118.41400014752419,106.2614703713232,12.152529776200993,Heavy Cut > 2.0 m
1015.865,950.526,117.98292778850069,106.22179392089518,11.761133867605508,Heavy Cut > 2.0 m
1016.865,950.526,117.55185542947721,106.18987978169186,11.361975647785357,Heavy Cut > 2.0 m
1017.865,950.526,117.17816427544173,106.16172589866781,11.01643837677392,Heavy Cut > 2.0 m
1018.865,950.526,116.88830044633623,106.13798602306417,10.750314423272059,Heavy Cut > 2.0 m
1019.865,950.526,117.281,106.12657751130304,11.154422488696966,Heavy Cut > 2.0 m
1020.865,950.526,117.281,106.1252990712307,11.155700928769306,Heavy Cut > 2.0 m
1021.865,950.526,117.281,106.10435117388371,11.176648826116292,Heavy Cut > 2.0 m
1022.865,950.526,117.281,105.98657574989772,11.294424250102281,Heavy Cut > 2.0 m
1023.865,950.526,117.281,105.62812360526539,11.65287639473462,Heavy Cut > 2.0 m
1024.865,950.526,117.281,104.95707244344308,12.323927556556924,Heavy Cut > 2.0 m
1025.865,950.526,115.868,104.22196426534384,11.646035734656152,Heavy Cut > 2.0 m
1026.865,950.526,115.868,103.774920411896,12.09307958810399,Heavy Cut > 2.0 m
1027.865,950.526,115.868,103.63012131251989,12.237878687480105,Heavy Cut > 2.0 m
1028.865,950.526,115.868,103.60471586273778,12.263284137262218,Heavy Cut > 2.0 m
1029.865,950.526,115.868,103.59728583254193,12.270714167458067,Heavy Cut > 2.0 m
1030.865,950.526,115.868,103.58332316148241,12.284676838517584,Heavy Cut > 2.0 m
1031.865,950.526,111.857,103.56259257976777,8.294407420232233,Heavy Cut > 2.0 m
1032.865,950.526,111.857,103.54433973984322,8.312660260156775,Heavy Cut > 2.0 m
1033.865,950.526,111.857,103.53473066414246,8.322269335857541,Heavy Cut > 2.0 m
1034.865,950.526,111.857,103.53533568841527,8.321664311584726,Heavy Cut > 2.0 m
1035.865,950.526,111.857,103.54476947468095,8.312230525319052,Heavy Cut > 2.0 m
1036.865,950.526,111.857,103.55684506829294,8.300154931707056,Heavy Cut > 2.0 m
1037.865,950.526,108.608,103.56714668614597,5.040853313854029,Heavy Cut > 2.0 m
1038.865,950.526,108.608,103.57394125003118,5.034058749968821,Heavy Cut > 2.0 m
1039.865,950.526,108.608,103.57685899776699,5.031141002233014,Heavy Cut > 2.0 m
1040.865,950.526,108.608,103.57743010001963,5.030569899980378,Heavy Cut > 2.0 m
1041.865,950.526,108.608,103.5773116993453,5.0306883006547025,Heavy Cut > 2.0 m
1007.865,951.526,121.21524409322774,105.48682511556842,15.728418977659317,Heavy Cut > 2.0 m
1008.865,951.526,120.77772751644724,105.82624640665169,14.951481109795552,Heavy Cut > 2.0 m
1009.865,951.526,120.26973411875572,106.0819360433342,14.187798075421526,Heavy Cut > 2.0 m
1010.865,951.526,119.8041706490683,106.26219519813475,13.541975450933549,Heavy Cut > 2.0 m
1011.865,951.526,119.37245049370648,106.36449478795527,13.007955705751215,Heavy Cut > 2.0 m
1012.865,951.526,118.94073033834466,106.38672979770874,12.554000540635926,Heavy Cut > 2.0 m
1013.865,951.526,118.50901018298288,106.3516106296602,12.157399553322676,Heavy Cut > 2.0 m
