peg_id,point_type,chainage_m,x,y,existing_z_m,design_z_m,cut_fill_m
Drain_1_110_106_CH000,Drain_1_110_106,0.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CH001,Drain_1_110_106,1.0,1016.5092504546996,975.19259963624,110.40065328845016,110.4090909090909,-0.008437620640748378
Drain_1_110_106_CH002,Drain_1_110_106,2.0,1016.0123339395996,975.59013284832,110.37804478546371,110.3181818181818,0.05986296728191576
Drain_1_110_106_CH003,Drain_1_110_106,3.0,1015.4444293509137,976.0444565192688,110.2119709483969,110.22727272727272,-0.015301778875823402
Drain_1_110_106_CH004,Drain_1_110_106,4.0,1014.805536688642,976.555570649086,110.4046205886995,110.13636363636364,0.2682569523358609
Drain_1_110_106_CH005,Drain_1_110_106,5.0,1014.0956559527848,977.123475237772,110.01868793339602,110.04545454545456,-0.026766612058537476
Drain_1_110_106_CH006,Drain_1_110_106,6.0,1013.3147871433418,977.7481702853264,109.88894405308211,109.95454545454544,-0.06560140146332571
Drain_1_110_106_CH007,Drain_1_110_106,7.0,1012.5339183338988,978.3728653328808,109.5130320061656,109.86363636363636,-0.3506043574707576
Drain_1_110_106_CH008,Drain_1_110_106,8.0,1011.7521480252962,978.996327506872,109.2027772544695,109.77272727272728,-0.569950018257785
Drain_1_110_106_CH009,Drain_1_110_106,9.0,1010.96572485443,979.6134265125604,109.00401668838674,109.6818181818182,-0.6778014934314598
Drain_1_110_106_CH010,Drain_1_110_106,10.0,1010.174648821301,980.2241623499464,109.11150252650226,109.5909090909091,-0.4794065644068297
Drain_1_110_106_CH011,Drain_1_110_106,11.0,1009.3789199259088,980.8285350190292,109.31273680617711,109.5,-0.18726319382288636
Drain_1_110_106_CH012,Drain_1_110_106,12.0,1008.5785381682532,981.42654451981,109.73462155289845,109.4090909090909,0.3255306438075394
Drain_1_110_106_CH013,Drain_1_110_106,13.0,1007.7735035483348,982.0181908522876,109.49581822427989,109.3181818181818,0.17763640609808817
Drain_1_110_106_CH014,Drain_1_110_106,14.0,1006.963816066153,982.6034740164628,109.39051413950334,109.22727272727272,0.16324141223061872
Drain_1_110_106_CH015,Drain_1_110_106,15.0,1006.149475721708,983.1823940123354,109.2979559222936,109.13636363636364,0.1615922859299559
Drain_1_110_106_CH016,Drain_1_110_106,16.0,1005.330482515,983.7549508399052,109.25646194972096,109.04545454545456,0.21100740426639675
Drain_1_110_106_CH017,Drain_1_110_106,17.0,1004.5204422335338,984.312073974169,109.15822449973548,108.95454545454544,0.20367904519004298
Drain_1_110_106_CH018,Drain_1_110_106,18.0,1003.7813900256534,984.8124066495642,109.1773800815158,108.86363636363636,0.3137437178794471
Drain_1_110_106_CH019,Drain_1_110_106,19.0,1003.1142273905184,985.257181739654,109.02964530575144,108.77272727272728,0.2569180330241636
Drain_1_110_106_CH020,Drain_1_110_106,20.0,1002.5227056912324,985.651529539178,108.73334246403756,108.6818181818182,0.05152428221936134
Drain_1_110_106_CH021,Drain_1_110_106,21.0,1002.0068249277956,985.995450048136,108.37238224662345,108.5909090909091,-0.21852684428564828
Drain_1_110_106_CH022,Drain_1_110_106,22.0,1000.5,987.0,108.6435435858466,108.5,0.14354358584660076
Drain_2_106_105_CH000,Drain_2_106_105,0.0,1018.0,974.0,110.3266174816441,106.0,4.3266174816441065
Drain_2_106_105_CH000,Drain_2_106_105,0.6214530069263313,1018.6056298270408,973.8606574278396,110.1270066500486,105.92772552744424,4.199281122604361
Drain_2_106_105_CH001,Drain_2_106_105,1.2843488490721031,1019.2680150516434,973.8866711119772,109.83838019622706,105.85063128730616,3.9877489089209064
Drain_2_106_105_CH001,Drain_2_106_105,1.9931689171535016,1019.9521855429648,974.071972562916,109.51875648215932,105.76819609753872,3.7505603846205986
Drain_2_106_105_CH002,Drain_2_106_105,2.7787357579062872,1020.6581413010034,974.4165617806556,109.18510649702344,105.67683532135788,3.5082711756655556
Drain_2_106_105_CH003,Drain_2_106_105,3.73952994665895,1021.4033321827524,975.0230401585876,108.83472582863878,105.56509574901244,3.2696300796263387
Drain_2_106_105_CH004,Drain_2_106_105,4.811389572111079,1022.1523877247912,975.7897205689384,108.12569936332346,105.4404393579097,2.6852600054137667
Drain_2_106_105_CH005,Drain_2_106_105,5.913976990735118,1022.95084503989,976.5500921436784,107.7051951862401,105.31220934978435,2.3929858364557504
Drain_2_106_105_CH006,Drain_2_106_105,6.675925099296574,1023.66251330349,976.8222928099618,107.18419411122449,105.2235954126928,1.9605986985316832
Drain_2_106_105_CH007,Drain_2_106_105,7.368858977133012,1024.3516492487863,976.8947428476012,106.91839971532092,105.14300777375875,1.7753919415621624
Drain_2_106_105_CH008,Drain_2_106_105,8.047508987073064,1025.0182528757805,976.7674422565976,106.7125619045052,105.06408133688949,1.6484805676157066
Drain_2_106_105_CH008,Drain_2_106_105,8.598513208751811,1025.5,976.5,106.63192909470251,105.0,1.6319290947025138
Drain_3_106_105_CH000,Drain_3_106_105,0.0,1025.5,976.5,106.63192909470251,106.0,0.6319290947025138
Drain_3_106_105_CH001,Drain_3_106_105,1.0950644380827117,1026.5766709450988,976.3001355470992,106.29049008629124,105.93912873635756,0.35136134993368273
Drain_3_106_105_CH002,Drain_3_106_105,2.044866519371116,1027.4964537913488,976.0632315383444,105.8628021403897,105.88633216029535,-0.023530019905649624
Drain_3_106_105_CH002,Drain_3_106_105,2.99301528013622,1028.4076372118589,975.8010658527024,105.63457421567946,105.83362748723536,-0.19905327155589703
Drain_3_106_105_CH003,Drain_3_106_105,3.9402598928657175,1029.3102212066285,975.513638490173,105.46994260442848,105.78097307298344,-0.31103046855496075
Drain_3_106_105_CH004,Drain_3_106_105,4.83980320927164,1030.1507310643467,975.1931367629248,105.47873131776548,105.73097022706268,-0.2522389092972048
Drain_3_106_105_CH005,Drain_3_106_105,5.796846538799647,1031.0556181413017,974.8815098825792,105.77337912566708,105.67777113228526,0.0956079933818188
Drain_3_106_105_CH006,Drain_3_106_105,6.772251358216581,1031.9739620181049,974.5527864643688,105.78484225530129,105.62355137876574,0.16129087653554564
Drain_3_106_105_CH007,Drain_3_106_105,7.765055608885509,1032.8936546012844,974.1788535391124,105.75257037433622,105.5683644443844,0.1842059299518155
Drain_3_106_105_CH008,Drain_3_106_105,8.801644282195621,1033.7980955565472,973.6723926461718,105.75584316249076,105.5107436686314,0.2450994938593567
Drain_3_106_105_CH009,Drain_3_106_105,9.910881765924517,1034.6772883054443,972.9960584790653,105.61976749470516,105.44908456897846,0.17068292572669463
Drain_3_106_105_CH010,Drain_3_106_105,10.935092750659528,1035.5258324211654,972.4224898040776,105.87967855401487,105.392151830859,0.48752672315586665
Drain_3_106_105_CH011,Drain_3_106_105,11.83641690024266,1036.3271561151564,972.0098573282952,105.84680016977812,105.34204999389986,0.5047501758782573
Drain_3_106_105_CH012,Drain_3_106_105,12.803972515898456,1037.0951001269163,971.4212777973996,105.6849218465403,105.2882665534729,0.3966552930674112
Drain_3_106_105_CH013,Drain_3_106_105,13.755755966112124,1037.851063674966,970.842995124202,105.60691538290314,105.23535983920692,0.3715555436962177
Drain_3_106_105_CH014,Drain_3_106_105,14.637565822076652,1038.5954273212878,970.3702252181052,105.6644256284911,105.18634274180312,0.4780828866879858
Drain_3_106_105_CH015,Drain_3_106_105,15.494908510336067,1039.3981405341303,970.0690807626688,105.542620760248,105.13868569898987,0.4039350612581245
Drain_3_106_105_CH016,Drain_3_106_105,16.34407870809415,1040.2209846251346,969.8592769813404,105.58415370462797,105.09148293978464,0.49267076484332506
Drain_3_106_105_CH017,Drain_3_106_105,17.195336780839614,1041.0639595943017,969.7408138741204,105.631,105.04416412203126,0.5868358779687384
Drain_3_106_105_CH017,Drain_3_106_105,17.989842374803633,1041.815,970.0,105.631,105.0,0.6310000000000002
Gabion_Toe_CH000,Gabion_Toe,0.0,990.0504221182574,1010.0256898125004,,,
Gabion_Toe_CH000,Gabion_Toe,0.4991005553314766,990.3281696930404,1009.6110120472002,,,
Gabion_Toe_CH000,Gabion_Toe,0.9989736768221624,990.6414446412882,1009.2214841991724,,,
Gabion_Toe_CH001,Gabion_Toe,1.4988342475677885,990.9535349280184,1008.8310226221704,,,
Gabion_Toe_CH001,Gabion_Toe,1.9984894101161303,991.2369607494994,1008.4195313279988,,,
Gabion_Toe_CH002,Gabion_Toe,2.4983593726179274,991.4768255169448,1007.980971328968,,,
Gabion_Toe_CH002,Gabion_Toe,2.997904064278262,991.732361853275,1007.5517323747932,,,
Gabion_Toe_CH003,Gabion_Toe,3.4965293721859445,992.06535736261,1007.180597374492,,,
Gabion_Toe_CH003,Gabion_Toe,3.995856602388751,992.4626541734336,1006.8781359274752,,,
Gabion_Toe_CH004,Gabion_Toe,4.495660717759386,992.8899426750957,1006.6188509682336,,,
Gabion_Toe_CH004,Gabion_Toe,4.995519042213016,993.3195289096102,1006.363284907026,,,
Gabion_Toe_CH005,Gabion_Toe,5.494603781847903,993.7182249412524,1006.06307322889,,,
Gabion_Toe_CH005,Gabion_Toe,5.993134502296447,994.0500612737032,1005.691028167511,,,
Gabion_Toe_CH006,Gabion_Toe,6.492368216254357,994.3133084188498,1005.2668404240244,,,
Gabion_Toe_CH006,Gabion_Toe,6.992062731940715,994.5234916187236,1004.813499899145,,,
Gabion_Toe_CH007,Gabion_Toe,7.491885198869007,994.6917083653194,1004.342834811624,,,
Gabion_Toe_CH007,Gabion_Toe,7.9917181345289405,994.8318421308304,1003.863047888778,,,
Gabion_Toe_CH008,Gabion_Toe,8.491573254456375,994.9489166456532,1003.3770965549012,,,
Gabion_Toe_CH008,Gabion_Toe,8.991458658410771,995.0468320862756,1002.8868945724752,,,
Gabion_Toe_CH009,Gabion_Toe,9.491369242579427,995.1319116003508,1002.3942770043268,,,
Gabion_Toe_CH009,Gabion_Toe,9.991289683294552,995.2116181112572,1001.9007516056248,,,
Gabion_Toe_CH010,Gabion_Toe,10.491208947555544,995.2927876182964,1001.4074659055418,,,
Gabion_Toe_CH010,Gabion_Toe,10.991120804227878,995.3815093472398,1000.9154899719284,,,
Gabion_Toe_CH011,Gabion_Toe,11.4909946522283,995.4832064489246,1000.4260703529676,,,
Gabion_Toe_CH011,Gabion_Toe,11.99084081049306,995.6065311563228,999.9416767129628,,,
Gabion_Toe_CH012,Gabion_Toe,12.49051475137805,995.7673480924896,999.4685890252752,,,
Gabion_Toe_CH012,Gabion_Toe,12.989587233115222,995.9831167772036,999.0185698959884,,,
Gabion_Toe_CH013,Gabion_Toe,13.486927591272048,996.2892153161278,998.626586329598,,,
Gabion_Toe_CH013,Gabion_Toe,13.982062743894854,996.7126644701508,998.3699744956546,,,
Gabion_Toe_CH014,Gabion_Toe,14.478918349896189,997.202928499536,998.2893105340228,,,
Gabion_Toe_CH014,Gabion_Toe,14.9775372342067,997.698279919366,998.3462996791594,,,
Gabion_Toe_CH015,Gabion_Toe,15.477116862700797,998.1787414718664,998.4831810211132,,,
Gabion_Toe_CH015,Gabion_Toe,15.97672939276424,998.6584699644596,998.622727621182,,,
Gabion_Toe_CH016,Gabion_Toe,16.47438271240779,999.1535121366528,998.6736400391428,,,
Gabion_Toe_CH016,Gabion_Toe,16.972248393286012,999.6413914037844,998.574422818362,,,
Gabion_Toe_CH017,Gabion_Toe,17.471134250545973,1000.0874272728372,998.3509522339614,,,
Gabion_Toe_CH017,Gabion_Toe,17.970554119185138,1000.4804430515009,998.04279837156,,,
Gabion_Toe_CH018,Gabion_Toe,18.47005818095252,1000.8260192488632,997.682130380828,,,
Gabion_Toe_CH018,Gabion_Toe,18.969730111970964,1001.1336137051496,997.2883567287008,,,
Gabion_Toe_CH019,Gabion_Toe,19.46961555626352,1001.4176755620806,996.8770243584058,,,
Gabion_Toe_CH019,Gabion_Toe,19.96953133376227,1001.697361191054,996.4626673462316,,,
Gabion_Toe_CH020,Gabion_Toe,20.469321444386107,1001.9947911959932,996.061013830326,,,
Gabion_Toe_CH020,Gabion_Toe,20.968712586987493,1002.3289126459908,995.6898610720712,,,
Gabion_Toe_CH021,Gabion_Toe,21.468204934936885,1002.7074039250672,995.363920958978,,,
Gabion_Toe_CH021,Gabion_Toe,21.968077043990288,1003.1121852458848,995.0706221220784,,,
Gabion_Toe_CH022,Gabion_Toe,22.467979941340804,1003.520030437873,994.7815456509647,,,
Gabion_Toe_CH022,Gabion_Toe,22.9675535512252,1003.9059040518453,994.4642518663852,,,
Gabion_Toe_CH023,Gabion_Toe,23.46604844115216,1004.232545789538,994.0876853643164,,,
Gabion_Toe_CH023,Gabion_Toe,23.96463402247089,1004.4649550345152,993.646580473448,,,
Gabion_Toe_CH024,Gabion_Toe,24.46438432021268,1004.6372748659928,993.177478953761,,,
Gabion_Toe_CH024,Gabion_Toe,24.96419321235729,1004.8062700629112,992.7071072368336,,,
Gabion_Toe_CH025,Gabion_Toe,25.463233553465194,1005.0252593688174,992.2586822754946,,,
Gabion_Toe_CH025,Gabion_Toe,25.961066354938925,1005.3346601263538,991.868671160962,,,
Gabion_Toe_CH026,Gabion_Toe,26.458326815815667,1005.7462449498504,991.5896265426322,,,
Gabion_Toe_CH026,Gabion_Toe,26.95731788142653,1006.2161714310038,991.4218135935783,,,
Gabion_Toe_CH027,Gabion_Toe,27.45706129260962,1006.7057098003492,991.3213364222428,,,
Gabion_Toe_CH027,Gabion_Toe,27.956962683288257,1007.200591972598,991.2506750042496,,,
Gabion_Toe_CH028,Gabion_Toe,28.45685336357284,1007.6953598982936,991.1792929901418,,,
Gabion_Toe_CH028,Gabion_Toe,28.956645657046685,1008.1860277222812,991.0842276277896,,,
Gabion_Toe_CH029,Gabion_Toe,29.456525414700568,1008.6702323721902,990.9600276715954,,,
Gabion_Toe_CH029,Gabion_Toe,29.95644209011406,1009.1505878118088,990.821552641408,,,
Gabion_Toe_CH030,Gabion_Toe,30.45634493601977,1009.6318883357484,990.6864502321032,,,
Gabion_Toe_CH030,Gabion_Toe,30.95614053459324,1010.1184657006442,990.5722656958274,,,
Gabion_Toe_CH031,Gabion_Toe,31.45583278130653,1010.6120885536336,990.4946202166808,,,
Gabion_Toe_CH031,Gabion_Toe,31.95567255734279,1011.110152623499,990.4525252761632,,,
Gabion_Toe_CH032,Gabion_Toe,32.4555823281822,1011.6095998158054,990.4310245534328,,,
Gabion_Toe_CH032,Gabion_Toe,32.95550138263866,1012.1092173108482,990.4136631117937,,,
Gabion_Toe_CH033,Gabion_Toe,33.45537757346885,1012.608330218692,990.3860495031432,,,
Gabion_Toe_CH033,Gabion_Toe,33.95516116060308,1013.1053617338482,990.3336729157191,,,
Gabion_Toe_CH034,Gabion_Toe,34.4548836339838,1013.5961892644676,990.239806598076,,,
Gabion_Toe_CH034,Gabion_Toe,34.95442779066303,1014.0711757581306,990.085106257708,,,
Gabion_Toe_CH035,Gabion_Toe,35.45399889910768,1014.523744029669,989.8735566134412,,,
Gabion_Toe_CH035,Gabion_Toe,35.95375629175099,1014.956506941556,989.6236091917768,,,
Gabion_Toe_CH036,Gabion_Toe,36.453643067274456,1015.3763152057938,989.3522278924564,,,
Gabion_Toe_CH036,Gabion_Toe,36.95356386995751,1015.791437408782,989.0736702403595,,,
Gabion_Toe_CH037,Gabion_Toe,37.453475867772354,1016.2103868086548,988.8009186942496,,,
Gabion_Toe_CH037,Gabion_Toe,37.95338771188828,1016.6343622975528,988.5360477130132,,,
Gabion_Toe_CH038,Gabion_Toe,38.45330394235917,1017.0619874419976,988.2771018242128,,,
Gabion_Toe_CH038,Gabion_Toe,38.95322364966633,1017.4919157357782,988.021991307062,,,
Gabion_Toe_CH039,Gabion_Toe,39.45314446759392,1017.9228150445022,987.7685221571865,,,
Gabion_Toe_CH039,Gabion_Toe,39.95306430916036,1018.3530315639592,987.5138977389188,,,
Gabion_Toe_CH040,Gabion_Toe,40.45297731094984,1018.78027532696,987.2543292964316,,,
Gabion_Toe_CH040,Gabion_Toe,40.95287546268851,1019.2019939645504,986.9859050933115,,,
Gabion_Toe_CH041,Gabion_Toe,41.45275577592382,1019.6153651386504,986.7048275239764,,,
Gabion_Toe_CH041,Gabion_Toe,41.9526322152873,1020.0173716324084,986.407729503776,,,
Gabion_Toe_CH042,Gabion_Toe,42.45254001145111,1020.407931536581,986.0956866126248,,,
Gabion_Toe_CH042,Gabion_Toe,42.95246025392477,1020.7941695278604,985.778290231222,,,
Gabion_Toe_CH043,Gabion_Toe,43.45236471944325,1021.1838036293334,985.4650974126348,,,
Gabion_Toe_CH043,Gabion_Toe,43.95221206886042,1021.5837993181956,985.1653461463976,,,
Gabion_Toe_CH044,Gabion_Toe,44.45201702770776,1021.9997859301768,984.8882899507606,,,
Gabion_Toe_CH044,Gabion_Toe,44.951893554732,1022.4315882904032,984.636450192238,,,
Gabion_Toe_CH045,Gabion_Toe,45.45180350187703,1022.8717500657848,984.3994532159968,,,
Gabion_Toe_CH045,Gabion_Toe,45.95172234898756,1023.3134175916376,984.1652553289368,,,
Gabion_Toe_CH046,Gabion_Toe,46.4516080173544,1023.7506961198118,983.923029875616,,,
Gabion_Toe_CH046,Gabion_Toe,46.95145240613681,1024.1768657793589,983.661832949373,,,
Gabion_Toe_CH047,Gabion_Toe,47.451250061895976,1024.582506285484,983.3698509696328,,,
