field_zone,point_count,average_cut_fill_m,max_value_m,min_value_m
Heavy Cut > 2.0 m,1780,7.915821660172084,16.166415735416848,2.0020056750459077
Heavy Fill > 1.0 m,1640,-2.7719644511649504,-1.000442623808965,-4.319337592841251
Light Cut 0.3-1.0 m,61,0.6586116377592056,0.9933378597882694,0.3066946527853105
Light Fill 0.3-1.0 m,164,-0.7227681752085725,-0.3209860162122453,-0.9985425184861612
Moderate Cut 1.0-2.0 m,125,1.4383072629462472,1.9873797393242683,1.0126666575362293
Trim / Balance,53,-0.029882834948179653,0.2839131142137603,-0.2926482544299631
