peg_id,point_type,chainage_m,x,y,existing_z_m,design_z_m,cut_fill_m
Drain_2_106_105_CH000,Drain_2_106_105,0.0,1018.0,974.0,110.3266174816441,106.0,4.3266174816441065
Drain_2_106_105_CH000,Drain_2_106_105,0.6214530069263313,1018.6056298270408,973.8606574278396,110.1270066500486,105.92772552744424,4.199281122604361
Drain_2_106_105_CH001,Drain_2_106_105,1.2843488490721031,1019.2680150516434,973.8866711119772,109.83838019622706,105.85063128730616,3.9877489089209064
Drain_2_106_105_CH001,Drain_2_106_105,1.9931689171535016,1019.9521855429648,974.071972562916,109.51875648215932,105.76819609753872,3.7505603846205986
Drain_2_106_105_CH002,Drain_2_106_105,2.7787357579062872,1020.6581413010034,974.4165617806556,109.18510649702344,105.67683532135788,3.5082711756655556
Drain_2_106_105_CH003,Drain_2_106_105,3.73952994665895,1021.4033321827524,975.0230401585876,108.83472582863878,105.56509574901244,3.2696300796263387
Drain_2_106_105_CH004,Drain_2_106_105,4.811389572111079,1022.1523877247912,975.7897205689384,108.12569936332346,105.4404393579097,2.6852600054137667
Drain_2_106_105_CH005,Drain_2_106_105,5.913976990735118,1022.95084503989,976.5500921436784,107.7051951862401,105.31220934978435,2.3929858364557504
Drain_2_106_105_CH006,Drain_2_106_105,6.675925099296574,1023.66251330349,976.8222928099618,107.18419411122449,105.2235954126928,1.9605986985316832
Drain_2_106_105_CH007,Drain_2_106_105,7.368858977133012,1024.3516492487863,976.8947428476012,106.91839971532092,105.14300777375875,1.7753919415621624
Drain_2_106_105_CH008,Drain_2_106_105,8.047508987073064,1025.0182528757805,976.7674422565976,106.7125619045052,105.06408133688949,1.6484805676157066
Drain_2_106_105_CH008,Drain_2_106_105,8.598513208751811,1025.5,976.5,106.63192909470251,105.0,1.6319290947025138
